PRCP       046037 18920101 20111231 TIBOOBURRA POST OFFICE                      
19271101 19271130    20.0
19271201 19271231    53.9
19280101 19280131     0.0
19280201 19280229     6.6
19280301 19280331     4.8
19280401 19280430    12.2
19280501 19280531     0.0
19280601 19280630     5.8
19280701 19280731    13.1
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031    10.4
19281101 19281130     1.3
19281201 19281231     7.4
19290101 19290131     0.8
19290201 19290228     0.0
19290301 19290331     4.0
19290401 19290430    20.5
19290501 19290531     0.0
19290601 19290630     4.1
19290701 19290731     0.0
19290801 19290831     0.8
19290901 19290930    17.6
19291001 19291031     0.0
19291101 19291130    26.9
19291201 19291231    12.7
19300101 19300131    78.5
19300201 19300228    22.4
19300301 19300331     0.0
19300401 19300430     1.8
19300501 19300531    65.7
19300601 19300630     7.6
19300701 19300731    14.3
19300801 19300831     1.3
19300901 19300930     0.0
19301001 19301031    37.3
19301101 19301130     3.3
19301201 19301231    58.0
19310101 19310131     0.0
19310201 19310228     0.0
19310301 19310331    25.7
19310401 19310430    47.5
19310501 19310531    29.0
19310601 19310630    46.2
19310701 19310731    59.7
19310801 19310831     0.0
19310901 19310930    22.1
19311001 19311031    11.4
19311101 19311130    35.5
19311201 19311231    26.4
19320101 19320131     0.0
19320201 19320229    45.5
19320301 19320331     6.6
19320401 19320430     7.4
19320501 19320531    35.4
19320601 19320630     2.8
19320701 19320731     4.8
19320801 19320831     5.3
19320901 19320930     9.9
19321001 19321031     9.7
19321101 19321130    23.1
19321201 19321231     0.0
19330101 19330131     0.0
19330201 19330228    17.0
19330301 19330331     0.0
19330401 19330430     3.3
19330501 19330531    30.8
19330601 19330630     0.0
19330701 19330731     1.3
19330801 19330831    15.7
19330901 19330930     4.8
19331001 19331031     0.0
19331101 19331130    10.7
19331201 19331231    42.1
19340101 19340131     8.4
19340201 19340228    65.1
19340301 19340331     0.0
19340401 19340430     0.0
19340501 19340531     0.0
19340601 19340630     2.0
19340701 19340731    18.3
19340801 19340831     7.7
19340901 19340930     0.8
19341001 19341031    57.6
19341101 19341130     4.6
19341201 19341231     0.0
19350101 19350131     4.8
19350201 19350228     0.0
19350301 19350331     0.0
19350401 19350430    16.1
19350501 19350531     0.0
19350601 19350630    20.5
19350701 19350731     4.8
19350801 19350831     4.0
19350901 19350930    27.7
19351001 19351031    21.3
19351101 19351130     7.2
19351201 19351231    55.6
19360101 19360131    62.0
19360201 19360229     4.3
19360301 19360331    63.2
19360401 19360430     0.0
19360501 19360531    76.2
19360601 19360630     3.6
19360701 19360731    80.8
19360801 19360831    25.8
19360901 19360930     9.0
19361001 19361031    29.8
19361101 19361130     1.8
19361201 19361231    18.2
19370101 19370131    28.7
19370201 19370228    57.4
19370301 19370331     1.3
19370401 19370430     2.0
19370501 19370531     1.0
19370601 19370630     6.5
19370701 19370731     0.0
19370801 19370831     7.9
19370901 19370930     0.0
19371001 19371031     4.8
19371101 19371130     2.8
19371201 19371231    19.9
19380101 19380131     1.3
19380201 19380228    22.6
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531    39.1
19380601 19380630    18.0
19380701 19380731    38.1
19380801 19380831     1.5
19380901 19380930     0.0
19381001 19381031    19.3
19381101 19381130     0.0
19381201 19381231     0.0
19390101 19390131    32.5
19390201 19390228    98.2
19390301 19390331    68.1
19390401 19390430    57.7
19390501 19390531    38.8
19390601 19390630    32.2
19390701 19390731    15.0
19390801 19390831     6.9
19390901 19390930     0.0
19391001 19391031     2.3
19391101 19391130    45.2
19391201 19391231     0.0
19400101 19400131     0.5
19400201 19400229     0.0
19400301 19400331     3.6
19400401 19400430    36.0
19400501 19400531    17.7
19400601 19400630     4.1
19400701 19400731     0.0
19400801 19400831     1.8
19400901 19400930     0.0
19401001 19401031     0.3
19401101 19401130     0.0
19401201 19401231     4.1
19410101 19410131    53.8
19410201 19410228     0.0
19410301 19410331    11.5
19410401 19410430     0.0
19410501 19410531     0.0
19410601 19410630     6.3
19410701 19410731     1.8
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     0.5
19411101 19411130    12.2
19411201 19411231    25.7
19420101 19420131    11.5
19420201 19420228    45.0
19420301 19420331     0.0
19420401 19420430    19.8
19420501 19420531    20.0
19420601 19420630    18.3
19420701 19420731     0.0
19420801 19420831     0.0
19420901 19420930     1.5
19421001 19421031    24.2
19421101 19421130     0.0
19421201 19421231    59.8
19430101 19430131    56.6
19430201 19430228    56.1
19430301 19430331     0.0
19430401 19430430     5.3
19430501 19430531     0.0
19430601 19430630     2.8
19430701 19430731    16.6
19430801 19430831    14.5
19430901 19430930    10.7
19431001 19431031     2.5
19431101 19431130     9.6
19431201 19431231     0.0
19440101 19440131     7.9
19440201 19440229    57.4
19440301 19440331    18.0
19440401 19440430     7.1
19440501 19440531     3.0
19440601 19440630     3.8
19440701 19440731     0.0
19440801 19440831    24.8
19440901 19440930     3.0
19441001 19441031     0.8
19441101 19441130     0.0
19441201 19441231     2.5
19450101 19450131     4.0
19450201 19450228     4.6
19450301 19450331     5.1
19450401 19450430     0.0
19450501 19450531    12.4
19450601 19450630    19.1
19450701 19450731    60.2
19450801 19450831     3.8
19450901 19450930     0.0
19451001 19451031    31.5
19451101 19451130     0.0
19451201 19451231     6.4
19460101 19460131    77.7
19460201 19460228    21.9
19460301 19460331     0.0
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     5.6
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930    32.2
19461001 19461031     0.0
19461101 19461130     2.8
19461201 19461231    53.1
19470101 19470131     0.0
19470201 19470228   155.9
19470301 19470331    39.9
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630     0.0
19470701 19470731    22.6
19470801 19470831    40.8
19470901 19470930    38.2
19471001 19471031     9.8
19471101 19471130    12.7
19471201 19471231    35.3
19480101 19480131     6.4
19480201 19480229    26.4
19480301 19480331     0.0
19480401 19480430     0.0
19480501 19480531     3.8
19480601 19480630    24.9
